序号1,类型,件号,序号,名称,数量,冻结数量,单位,飞行小时,发动机小时,起落架次,适用机型,仓库,最低库存,架位,库存有效期,证书编号,适航标签号,上次检查日期,下次检查日期,生产厂商,供应商
359,时控件,CJ-400D,700266,差动底限保护器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
360,时控件,CJ-400D,910303,差动底限保护器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
361,时控件,301,10307,航空时钟,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
362,时控件,301,15157,航空时钟,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
363,时控件,ZWH-1,03028,温度指示器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
364,时控件,BSM-9F(CD-4),761D456,磁电机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
365,时控件,BSM-9F(CD-4),0910002,磁电机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
366,时控件,BSM-9F(CD-4),406312,磁电机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
367,时控件,BSM-9F(CD-4),702D22,磁电机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
368,时控件,GSN-3000M(2F-3),6030130,发电机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
369,时控件,MSz-8A(CB-13),D029116,滑油泵,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
370,时控件,R9SM2(TS-7),18309012,调速器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
371,时控件,BNK-12BK(XB-13),DE9404006,汽油泵,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
372,时控件,RIM-U-24IR(DG-27A),7908010,起动机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
373,时控件,AK-50P-12(KY-2),6910874,空压机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
374,时控件,AK-50P-12(KY-2),c07976,空压机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
375,化工品,931,,高温润滑脂,20,0,个,00:00,00:00,0,运5B（D）,库2,,B,2021-01-04,,,2018-01-05,,北京航空油料研究所,威亚通用航空公司
376,化工品,932,,低温润滑脂,20,0,个,00:00,00:00,0,运5B（D）,库2,,B,2021-01-04,,,2018-01-05,,北京航空油料研究所,威亚通用航空公司
377,化工品,GCDJJ,,高纯度酒精,1,0,个,00:00,00:00,0,运5B（D）,库2,,B,2021-01-04,,,2018-01-05,,北京航空油料研究所,威亚通用航空公司
